"State","n_cattle","n_cattle_sd","area_ha","pastue_tot_201819_ha","stocking_rate_ha","municipality","forest_tot_2013_2014_ha","forest_perc_2013_2014","defo_perc_2013_14","defo_perc_2014_15","defo_perc_2015_16","defo_perc_2016_17","defo_perc_13_17","defo_buffer_abs_13_17","defo_buffer_perc_13_17","stocking_rate_2013","nearest_fedSh_km","imagedate","buffer_forest_tot_2013","buffer_forest_perc_2013","precipitation_2018_19","mean_temp_18_19","pop_density_avg_18_19"
"AC",20,0.0391388579559132,88.902,68.3784,0.38,"1200013",19.8463,22.274,8.652,1.094,0,0,9.746,1239.6932,3.249,1.52619588926669,0.814682789804064,2019-07-11,6139.6603,0.16949,0.402445620612094,33.3413600023281,12.5015662837482
"AC",44,0.101065996645686,39.554,32.0522,1.785,"1200013",11.6322,29.342,0,1.341,2.599,0,3.94,806.6604,2.196,1.52619588926669,0.807285284800793,2019-07-11,5893.204,0.16794,0.402445620612094,33.3413600023281,12.5015662837482
"AC",15,0.0670750476382315,40.22,19.2211,1.015,"1200013",15.4,38.204,0,0,0,0,0,622.9911,1.629,1.52619588926669,0.799823918481218,2019-07-11,6395.6789,0.18158,0.402445620612094,33.3413600023281,12.5015662837482
"AC",67,0.0523785165852379,88.523,62.8265,1.386,"1200013",20.9364,23.598,0,0,0,0,0,1127.7073,2.919,1.52619588926669,0.814346192917034,2019-07-11,6209.8339,0.17099,0.402445620612094,33.3413600023281,12.5015662837482
"AC",5,0.0460677838770227,41.448,40.3864,0.161,"1200013",2.2759,5.479,14.592,2.336,0,0,16.928,935.6504,2.536,1.52619588926669,0.809790334807702,2019-07-11,5724.7838,0.16277,0.402445620612094,33.3413600023281,12.5015662837482
"AC",15,0.0866614332593147,71.536,70.8894,0.275,"1200013",0.2165,0.302,0,0,0,0,0,1569.9826,4.205,1.52619588926669,0.824100671795223,2019-07-11,6410.1481,0.17895,0.402445620612094,33.3413600023281,12.5015662837482
"AC",18,0.109981990921759,25.399,14.9371,1.567,"1200013",12.7036,49.904,1.542,5.157,1.771,0,8.47,2078.9818,5.256,1.52619588926669,1.07526657936572,2020-07-21,19862.3926,0.57557,0.402445620612094,33.3413600023281,12.5015662837482
"AC",15,0.0711918358845309,42.062,39.7026,0.491,"1200013",8.879,21.062,8.411,7.009,1.262,0,16.682,1470.8066,3.936,1.52619588926669,0.831321238461564,2019-07-11,7045.2968,0.19594,0.402445620612094,33.3413600023281,12.5015662837482
"AC",28,0.0600735462684472,51.974,30.0339,1.212,"1200013",20.7793,39.891,0,0,0,0,0,1772.4182,4.631,1.52619588926669,0.83996162408708,2019-07-11,6195.7509,0.16886,0.402445620612094,33.3413600023281,12.5015662837482
"AC",14,0.0415686474292708,40.61,30.1422,0.604,"1200013",7.2498,17.812,1.959,0,1.116,0,3.075,740.8346,1.942,1.52619588926669,0.747689363239027,2020-05-17,6085.394,0.17273,0.402445620612094,33.3413600023281,12.5015662837482
"AC",95,0.29259422279883,42.205,42.2994,2.92,"1200013",0.0417,0.099,0,0,0,0,0,923.5074,2.472,1.52619588926669,0.82416161531472,2019-07-11,7083.3953,0.19857,0.402445620612094,33.3413600023281,12.5015662837482
"AC",25,0.0436961443375286,79.846,79.0903,0.411,"1200013",1.5212,1.901,0,0,0,0,0,905.9522,2.201,1.52619588926669,0.76203934448395,2019-07-11,7774.0039,0.21084,0.402445620612094,33.3413600023281,12.5015662837482
"AC",29,0.105486194061045,76.155,63.0249,0.598,"1200013",12.5515,16.445,0,0,0.009,0,0.009,904.0224,2.221,1.52619588926669,0.766485597109247,2019-07-11,7574.5349,0.20645,0.402445620612094,33.3413600023281,12.5015662837482
"AC",23,0.0512090287441405,53.915,53.6866,0.557,"1200013",0,0,0,0,0,0,0,632.1496,1.605,1.52619588926669,0.784705731416245,2019-07-11,7071.0221,0.19458,0.402445620612094,33.3413600023281,12.5015662837482
"AC",5,0.0266666666666667,43.731,37.2148,0.175,"1200013",4.8374,11.037,0,0,0,0,0,720.4261,1.858,1.52619588926669,0.748066729409399,2020-05-17,6051.4531,0.16963,0.402445620612094,33.3413600023281,12.5015662837482
"AC",9,0.0487979774169701,39.258,26.7077,0.438,"1200013",10.4228,26.49,0,0,0,0,0,697.902,1.823,1.52619588926669,0.768849331848581,2020-05-17,5659.8336,0.16142,0.402445620612094,33.3413600023281,12.5015662837482
