"State","n_cattle","n_cattle_sd","area_ha","pastue_tot_201819_ha","stocking_rate_ha","municipality","mod_deg_perc_201819","sev_deg_perc_201819","crop_201819_perc","mod_pasture_deg_sum_201819_ha","sev_pasture_deg_sum_201819_ha","crop_201819_tot_ha","forest_tot_2013_2014_ha","forest_perc_2013_2014","defo_perc_2013_14","defo_perc_2014_15","defo_perc_2015_16","defo_perc_2016_17","defo_perc_13_17","forest_201819_perc","nearest_fedSh_km","agricultural_credits_1000R","mean_market_share_g4_1317","imagedate"
"AC",14,0.0415686474292708,40.61,30.1422,0.604,"1200013",28.53,0,0,11.6125,0,0,7.2498,17.812,1.959,0,1.116,0,3.075,25.94,0.747689363239027,0.824738468,0,2020-05-17
"AC",95,0.29259422279883,42.205,42.2994,2.92,"1200013",94.67,0,0,40.0429,0,0,0.0417,0.099,0,0,0,0,0,0,0.82416161531472,0.824738468,0,2019-07-11
"AC",25,0.0436961443375286,79.846,79.0903,0.411,"1200013",24.07,0,0,19.2628,0,0,1.5212,1.901,0,0,0,0,0,1.11,0.76203934448395,0.824738468,0,2019-07-11
"AC",29,0.105486194061045,76.155,63.0249,0.598,"1200013",42.41,0,0,32.3672,0,0,12.5515,16.445,0,0,0.009,0,0.009,17.43,0.766485597109247,0.824738468,0,2019-07-11
"AC",23,0.0512090287441405,53.915,53.6866,0.557,"1200013",61.33,0,0,33.139,0,0,0,0,0,0,0,0,0,0.64,0.784705731416245,0.824738468,0,2019-07-11
"AC",5,0.0266666666666667,43.731,37.2148,0.175,"1200013",76.93,0,0,33.7179,0,0,4.8374,11.037,0,0,0,0,0,12.66,0.748066729409399,0.824738468,0,2020-05-17
"AC",9,0.0487979774169701,39.258,26.7077,0.438,"1200013",44.92,0,0,17.6754,0,0,10.4228,26.49,0,0,0,0,0,32.12,0.768849331848581,0.824738468,0,2020-05-17
"AC",21,0.186930639376292,16.58,15.1797,1.798,"1200013",33.04,0,0,5.4898,0,0,0,0,0,0,0,0,0,8.65,0.745609075427108,0.824738468,0,2020-05-17
"AC",7,0.05,25.616,23.879,0.381,"1200013",8.06,0,0,2.0689,0,0,2.2662,8.827,0,1.344,0,0,1.344,6.99,0.82828211202128,0.824738468,0,2019-07-11
"AC",10,0.0530690729658951,39.66,39.7479,0.327,"1200013",75.81,0,0,30.1311,0,0,0,0,0,0,0,0,0,0,0.794210940002945,0.824738468,0,2019-07-11
"AC",6,0.0444444444444444,16.01,13.6115,0.573,"1200013",42.55,0,0,6.8268,0,0,0.6205,3.867,0,0,0,0,0,15.16,0.798470030837301,0.824738468,0,2019-07-11
"AC",51,0.181060494488211,42.836,37.2899,1.778,"1200013",61.37,0,0,26.3468,0,0,4.9771,11.593,0,0,1.045,0,1.045,11.15,0.745776127104032,0.824738468,0,2020-05-17
"AC",5,0.0923076923076923,19.605,16.1156,0.403,"1200013",20.35,0.07,0,3.9995,0.0142,0,0.6205,3.158,0,0,0,0,0,9.57,0.798599779359165,0.824738468,0,2019-07-11
"AC",10,0.0919933358698383,80.867,58.6613,0.222,"1200013",17.24,0,0,13.9713,0,0,22.6523,27.949,0,0,0,0.163,0.163,27.62,0.815882812971656,0.824738468,0,2019-07-11
"AC",12,0.0442224794968366,40.554,37.597,0.415,"1200013",0,0,0,0,0,0,1.1335,2.789,0,0,0,0,0,7.5,0.777762267411137,0.824738468,0,2019-07-11
"AC",9,0.0848553383761551,28.298,28.0774,0.417,"1200013",81.42,0,0,23.0919,0,0,0.2211,0.78,0,0,0,0.105,0.105,1,0.768306319693807,0.824738468,0,2020-05-17
"AC",5,0.163299316185545,6.082,5.2416,1.24,"1200013",13.96,0,0,0.8512,0,0,0,0,0,0,0,0,0,14.02,0.768769651065796,0.824738468,0,2020-05-17
"AC",5,0.0429965982852212,40.164,39.0634,0.166,"1200013",43.8,0,0,17.6322,0,0,2.7591,6.854,16.48,3.834,0,0,20.314,2.96,0.809701336784895,0.824738468,0,2019-07-11
"AC",13,0.0333333333333333,40.625,24.3869,0.693,"1200013",0,0,0,0,0,0,20.3905,50.08,0,0,0,5.553,5.553,40.1,1.09060671453508,0.824738468,0,2020-07-21
"AC",7,0.0847791247890658,27.089,10.2553,0.887,"1200013",0,0,0,0,0,0,15.5995,57.458,2.211,8.027,1.82,0,12.058,62.23,1.08869504094237,0.824738468,0,2020-07-21
"AC",5,0.148316324759439,9.873,9.8953,0.657,"1200013",100,0,0,9.8953,0,0,2.7005,27.29,0,0,16.44,1.865,18.305,0,0.762103113439358,0.824738468,0,2020-05-17
"AC",59,0.0411827106300891,97.841,77.8153,0.986,"1200013",21.76,0,0,21.3386,0,0,45.9307,46.839,0,3.163,4.167,4.413,11.743,20.65,0.816229223597992,0.824738468,0,2019-07-11
"AC",44,0.126872873928263,83.21,70.2781,0.814,"1200013",46.32,0,0,38.6258,0,0,12.7311,15.266,0,0,0,0,0,15.73,0.820854028734944,0.824738468,0,2019-07-11
"AC",15,0.115397746573856,25.408,24.3793,0.8,"1200013",34.55,0,0,8.797,0,0,7.3431,28.836,23.146,5.095,14.551,1.127,43.919,4.26,1.07562283430673,0.824738468,0,2020-07-21
"AC",40,0.0732718423907472,59.3,55.1712,0.943,"1200013",12.13,0,0,7.2092,0,0,3.297,5.547,0,0,0,0,0,6.51,0.857705469527984,0.824738468,0,2019-07-11
"AC",19,0.172474487139159,21.201,20.9862,1.177,"1200013",11.75,0,0,2.4976,0,0,0,0,0,0,0,0,0,2.44,0.752498484586727,0.824738468,0,2020-05-17
"AC",52,0.0822952035609039,42.713,41.0854,1.645,"1200013",29.05,0,0,12.4365,0,0,0.8805,2.057,0.131,0,0,0,0.131,4.02,0.813527515233403,0.824738468,0,2019-07-11
"AC",5,0.12,12.07,12.0969,0.537,"1200013",11.67,0,0,1.4117,0,0,0.0253,0.209,0,0,0,0,0,0,0.772405462148379,0.824738468,0,2020-05-17
"AC",27,0.129874372426879,41.985,41.29,0.85,"1200013",33.6,0,0,14.138,0,0,0,0,0,0,0,0,0,0,0.737273058081393,0.824738468,0,2020-05-17
"AC",5,0.136907376701021,22.768,20.794,0.313,"1200013",61.04,7.16,0,13.9286,1.6346,0,0,0,0,0,0,0,0,0,0.75846313139392,0.824738468,0,2020-05-17
